7.536693855765212724e-02,3.594613774314080884e-02,9.074635007620677693e-03,3.296266253497328984e-03,1.438091423226616362e-03,3.661523297459739340e-02,3.575411351425556578e-02,1.602032539909496386e-02,7.229085819937541152e-03,3.453061771643844199e-03,1.069509188150114497e-02,1.653549973529537184e-02,1.194931180953512709e-02,6.926981836017725991e-03,3.735850273839306460e-03,4.981798851157615698e-03,7.517088602569737057e-03,6.640933660478996921e-03,4.520863951263051801e-03,2.675462446977030888e-03,2.254073593641329337e-03,2.600156850853333271e-03,2.293075715314034022e-03,1.625346262888696658e-03,9.783159328980316118e-04,5.417558622256668337e-04,3.026788936813064931e-04,1.610170743819935185e-04,7.726483112085873759e-05,2.280950642720338322e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.594613774314081578e-02,1.203877113084142469e-01,4.831703900425952242e-02,1.380899268434448296e-02,5.422959046235374669e-03,3.788080630699172668e-02,8.838967188794705221e-02,5.900352473328700914e-02,2.670247299067674343e-02,1.237704949250784982e-02,2.168346340786549836e-02,3.917990342633172890e-02,3.541179338084833594e-02,2.261214391939263268e-02,1.257152052487868314e-02,1.316162729143065084e-02,1.913982111420676341e-02,1.867888621431209803e-02,1.383726005871884802e-02,8.603184716706886379e-03,6.682477616297192134e-03,7.147306159808302847e-03,6.518578829056094308e-03,4.896737911100773784e-03,3.085363050715611653e-03,1.762695681508209778e-03,1.005451830288976115e-03,5.409607991841698486e-04,2.610914119300560628e-04,7.726483112085876469e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.074635007620674224e-03,4.831703900425952242e-02,1.251220689851385293e-01,5.044373179699748744e-02,1.484197185612255027e-02,2.178766224759651204e-02,6.113021752602489090e-02,9.907181947952625745e-02,6.415148840585627177e-02,2.919592919033025744e-02,2.512491560077021249e-02,4.055975705341817450e-02,4.984273553618828734e-02,4.105633206970941973e-02,2.535538988907977409e-02,2.004701174002386857e-02,2.432342490317333447e-02,2.633614751244654426e-02,2.276120697975590051e-02,1.580054675704907138e-02,1.145268881188403649e-02,1.060089959450013705e-02,9.750968355595360931e-03,7.978595616882617689e-03,5.477222985567377182e-03,3.345164344635063840e-03,2.000977587011105226e-03,1.105526167837024782e-03,5.409607991841682223e-04,1.610170743819927866e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.296266253497328550e-03,1.380899268434448469e-02,5.044373179699747356e-02,1.261550481569126136e-01,5.096096703098476621e-02,2.224391510777950359e-02,3.246980983917704261e-02,6.627818119859356372e-02,1.015652756791815270e-01,6.522356773029691634e-02,3.639643605205982596e-02,3.578774771062831483e-02,4.620429574227922359e-02,5.258598150587671244e-02,4.198424595041936463e-02,2.996961016638749128e-02,2.724333813826355574e-02,2.840574566861708491e-02,2.829943421077690466e-02,2.320512733356283608e-02,1.731338499388170721e-02,1.405635100767050651e-02,1.206091638232677059e-02,1.033145343006173361e-02,7.811166153381406130e-03,5.288274133648985034e-03,3.445238682183253669e-03,2.000977587011113466e-03,1.005451830288976982e-03,3.026788936813076857e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.438091423226617446e-03,5.422959046235378139e-03,1.484197185612255721e-02,5.096096703098477315e-02,1.264084682027662165e-01,5.449459141676218921e-02,2.739187878034956766e-02,3.496326603883227746e-02,6.735026052303642874e-02,1.017036529835116249e-01,6.882427028275593661e-02,4.204097474092113873e-02,3.853099368031533828e-02,4.713220962298908523e-02,5.205551823213173251e-02,4.403588879760803043e-02,3.405193093183170316e-02,2.920662483659387451e-02,2.884966602242379496e-02,2.734703322331306571e-02,2.334355030505329970e-02,1.877340178170865820e-02,1.463683608213714807e-02,1.189348691882583485e-02,9.330778885208911022e-03,7.099514797994801660e-03,5.288274133648978963e-03,3.345164344635064273e-03,1.762695681508210863e-03,5.417558622256640147e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.886013695114333354e-04,2.471070595004428664e-03,5.940194280221845931e-03,1.509539190197544019e-02,5.106502641707170997e-02,1.281268668756438411e-01,5.698804761641489136e-02,2.846395810478967794e-02,3.510164334316139001e-02,6.658767841979615354e-02,1.029849070166759251e-01,7.156751625244424375e-02,4.296888862163225631e-02,3.800053040657173226e-02,4.486490706704451825e-02,5.181889359444185467e-02,4.599917549593732918e-02,3.449585128563847219e-02,2.825422384913032006e-02,2.609997266563828314e-02,2.591893368286353125e-02,2.392403537951958911e-02,1.860597231820756980e-02,1.363616153728418670e-02,9.700061528248746234e-03,7.849004850018763413e-03,6.999440460446834308e-03,5.049992228146229015e-03,2.881468376571863846e-03,9.182609256012505463e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.443778022664043914e-04,1.205836603497859386e-03,2.724490640857451726e-03,6.044253666309028217e-03,1.509539190197541070e-02,5.184008394384516383e-02,1.291989462000858457e-01,5.712642492074625211e-02,2.770137600155125543e-02,3.297495055042519441e-02,6.592297756358357630e-02,1.039128208973860018e-01,7.103705297869920832e-02,4.070158606568450438e-02,3.285256673400197697e-02,4.191685473049425875e-02,5.226281394824960208e-02,4.504677450847371922e-02,3.174615792885328996e-02,2.260968516026942016e-02,2.246401859169266241e-02,2.575150421936229714e-02,2.292336083466719326e-02,1.641254692763075354e-02,9.553840771840250642e-03,6.999440460446834308e-03,7.610722944515869483e-03,6.535744492383479924e-03,4.205557472239154423e-03,1.421451588744940178e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.728574317200968482e-04,5.977978481193665754e-04,1.309895989585092195e-03,2.724490640857431777e-03,5.940194280221845063e-03,1.528835431355499326e-02,5.197846124817638580e-02,1.284363640968489706e-01,5.499973212800826627e-02,2.269662125628812976e-02,2.956281054208667256e-02,6.539251428983607062e-02,1.016455183414397834e-01,6.588908930613107673e-02,2.979328483039619599e-02,2.533623818906828237e-02,4.096445374303089165e-02,4.951312059146347616e-02,3.940223581961264238e-02,2.108977320609347478e-02,1.542182504795423098e-02,2.146334404684029085e-02,2.355807882878540802e-02,1.884104006922342894e-02,9.446359221637366105e-03,5.049992228146224678e-03,6.535744492383486863e-03,6.766288188608892036e-03,5.075727704556529801e-03,1.865844957892941582e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.056261413289615421e-05,2.769168178072335977e-04,5.977978481193583354e-04,1.205836603497888876e-03,2.471070595004436037e-03,5.632189127120723789e-03,1.452577221031527664e-02,4.985176845543842772e-02,1.234316093515882840e-01,4.197321832857096174e-02,1.255178419144638985e-02,2.729550798614122434e-02,6.024455061726809169e-02,9.073721710615141600e-02,4.209806203640032579e-02,1.256618511813721410e-02,2.258654483228227441e-02,3.531991505416987032e-02,3.885673586870477814e-02,2.055042928081252454e-02,8.425152234755933431e-03,1.322839965737726033e-02,1.738102328139652306e-02,1.659189112279211079e-02,8.235996648526361721e-03,2.881468376571863846e-03,4.205557472239157893e-03,5.075727704556527199e-03,4.426575674262606987e-03,1.788431157918650427e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.349677195425834905e-05,8.056261413287857658e-05,1.728574317201114307e-04,3.443778022663808100e-04,6.886013695114530679e-04,1.499258410879885945e-03,3.505496334382603076e-03,9.521017465053150178e-03,3.682525465600121339e-02,7.708533723053358211e-02,3.504480716412839997e-03,7.403820518876366545e-03,1.638720675085141021e-02,3.645352334753903384e-02,3.789648700776054868e-02,3.734738293482795391e-03,6.921646429276118173e-03,1.193016010952374813e-02,1.646810851536836817e-02,1.045846724381127926e-02,2.623356236680938168e-03,4.342831469312234162e-03,6.262211951384133966e-03,6.775979860699754206e-03,3.553699310708229118e-03,9.182609256012509800e-04,1.421451588744939093e-03,1.865844957892942666e-03,1.788431157918648692e-03,7.722995584511637302e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
